token,address,irm_name,irm_address,tokenFileType,implementation
cAAVE,0xe65cdb6479bac1e22340e4e755fae7e509ecd06c,IRM_COMP_Updateable,0xd956188795ca6F4A74092ddca33E0Ea4cA3a1395,cErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cBAT,0x6C8c6b02E7b2BE14d4fA6022Dfd6d75921D90E4E,Base200bps_Slope3000bps,0xBAE04CbF96391086dC643e842b517734E214D698,cErc20,
cCOMP,0x70e36f6bf80a52b3b46b3af8e106cc0ed743e8e4,IRM_cCOMP_Updateable,0xd88B94128Ff2B8Cf2d7886cd1C1E46757418cA2A,cErc20Delegator_4,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cDAI,0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,IRM_USDT_Updateable,0xFB564da37B41b2F6B6EDcc3e56FbF523bD9F2012,cErc20Delegator_1,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cETH,0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5,IRM_cEther_Updateable,0xF9583618169920c544Ec89795a346F487cB5a227,cEther,
cFEI,0x7713DD9Ca933848F6819F38B8352D9A15EA73F67,IRM_USDT_Updateable,0xFB564da37B41b2F6B6EDcc3e56FbF523bD9F2012,cErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cLINK,0xface851a4921ce59e912d19329929ce6da6eb0c7,IRM_COMP_Updateable,0xd956188795ca6F4A74092ddca33E0Ea4cA3a1395,cErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cMKR,0x95b4eF2869eBD94BEb4eEE400a99824BF5DC325b,IRM_COMP_Updateable,0xd956188795ca6F4A74092ddca33E0Ea4cA3a1395,cErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cREP,0x158079Ee67Fce2f58472A96584A73C7Ab9AC95c1,Base200bps_Slope3000bps,0xBAE04CbF96391086dC643e842b517734E214D698,cErc20,
cSAI,0xF5DCe57282A584D2746FaF1593d3121Fcac444dC,Base500bps_Slope1200bps,0xa1046abfc2598F48C44Fb320d281d3F3c0733c9a,cErc20,
cSUSHI,0x4b0181102a0112a2ef11abee5563bb4a3176c9d7,IRM_COMP_Updateable,0xd956188795ca6F4A74092ddca33E0Ea4cA3a1395,cErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cTUSD,0x12392f67bdf24fae0af363c24ac620a2f67dad86,IRM_USDT_Updateable,0xFB564da37B41b2F6B6EDcc3e56FbF523bD9F2012,cErc20Delegator_4,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cUNI,0x35a18000230da775cac24873d00ff85bccded550,IRM_COMP_Updateable,0xd956188795ca6F4A74092ddca33E0Ea4cA3a1395,cErc20Delegator_4,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cUSDC,0x39AA39c021dfbaE8faC545936693aC917d5E7563,IRM_USDC_Updateable,0xD8EC56013EA119E7181d231E5048f90fBbe753c0,cErc20,
cUSDP,0x041171993284df560249b57358f931d9eb7b925d,IRM_USDT_Updateable,0xFB564da37B41b2F6B6EDcc3e56FbF523bD9F2012,CErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cUSDT,0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9,IRM_USDT_Updateable,0xFB564da37B41b2F6B6EDcc3e56FbF523bD9F2012,CErc20Delegator_4,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cWBTC,0xC11b1268C1A384e55C48c2391d8d480264A3A7F4,Base200bps_Slope3000bps,0xBAE04CbF96391086dC643e842b517734E214D698,cErc20,
cWBTC2,0xccF4429DB6322D5C611ee964527D42E5d685DD6a,wbtc2_irm,0xF2e5dB36B0682f2CD6bC805c3a4236194e01f4D5,CErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cYFI,0x80a2ae356fc9ef4305676f7a3e2ed04e12c33946,IRM_COMP_Updateable,0xd956188795ca6F4A74092ddca33E0Ea4cA3a1395,CErc20Delegator_5,0x3363BAe2Fc44dA742Df13CD3ee94b6bB868ea376
cZRX,0xB3319f5D18Bc0D84dD1b4825Dcde5d5f7266d407,Base200bps_Slope3000bps,0xBAE04CbF96391086dC643e842b517734E214D698,cErc20,
