event_ilk,event_symb,blockNumber,transactionIndex,address,transactionHash,logIndex,event_id,event_top,event_tab,event_lot,event_usr,event_kpr,event_coin,timestamp,from
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12382360,147,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x327d286866894e43b1998da1e17c15995c2841eb31553be85cd1e3e2462064ab,184,1e-18,4616586000000,5710947866964318147019762333254.86955390448561257,2.13,0x3539cCfF045B83f6859492E4C5FFe872F32c1F5E,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,5710947866964318147019762333.254869553904485612,1620325730,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12390300,193,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x66d7d10cd3ff686fd46e558b2ad92d27d1366b204d3692bbadd0057bfe6b64a5,207,2e-18,4489316000000,6814476581722585589446524757542.003822766306455935,2.6114,0xa570adf6E0001c45F42B007aDda6D93e8573201a,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,6814476581722585589446524757.542003822766306455,1620432113,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12425837,195,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xcb3e78a2220d142ddea5609854a9f1a6aa6cb34591e16afc9a072180942d9af9,199,3e-18,4891510000000,5650023299941948535556512387148.982442953360998754,1.96,0x4C08CF96b9614b35662EFE5394997688Aaa20aa5,0xB00B6D69822dA235a99d2242376066507C9a97b7,5650023299941948535556512387.148982442953360998,1620906256,0xB00B6D69822dA235a99d2242376066507C9a97b7
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12447847,146,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x55ae2e118798d43aa685780c604269a6444250406e984a36822407f10867dc84,276,4e-18,4503007585604.06,512685145469760591882562659911731.819018425607002672,193.88259663513813,0xB0bC48fD3acaB3A4815cb8C5719D5044a706927B,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,512685145469760591882562659911.731819018425607002,1621199482,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12448069,99,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x79c7c5ae3b6cbc656b09052672d79719fcaf499612c0b71c9f32e55e82d90450,88,5e-18,4367038000000,315589356993516954366605963511796.089384178986957358,124.06715013203245,0xF102D4615B667C0e8eF5cCdbDeBeF9bd615c27cD,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,315589356993516954366605963511.796089384178986957,1621202538,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12448070,239,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x18dda870077e1b0861210ac64be1ce9200a99cc5f10bf548a5098e8d1fde4702,78,6e-18,4367038000000,40503194190298193531487000491617.221585550398174927,16,0x82FC9B8B5A359d74573F44310824cfe951036e6b,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,40503194190298193531487000491.617221585550398174,1621202548,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12448071,69,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x9894ee666a07d90c3560ec0a56a3f79b4fd3c075d48c0403b42d6b89ce738c8a,96,7e-18,4367038000000,8304245412960809518947105727000.127482409132903769,3.22,0xB204fcaa5124567E05BCA052d476A84e923cEd52,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,8304245412960809518947105727.000127482409132903,1621202562,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12449925,164,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x4c171cda338140d732e88875294bcd906599c429791db08a200b92ee7fbe3063,287,8e-18,4245709000000,279391384036080481026781858624930.646905475645335157,113.25305411731394,0x0a678b2ca9932b57168Af30728e4737b80Ec5140,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,279391384036080481026781858624.930646905475645335,1621227723,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12459373,144,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x3852d0cdb1257bf698bf5ce0e69d982ac1020e2c327be0bb2bec0527380254e7,126,9e-18,4272697000000,5650422732867833690296141040800.258919368478828673,2.21,0x02ce8Bd2B3b39E86C588DbDdc0a01362bc60d295,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,5650422732867833690296141040.800258919368478828,1621354038,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12459379,327,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x5ff9cd8649653f4d5b2d79d7904804d5235cc7654d8c2d64d5f49fe3ce5defdd,239,1e-17,4272697000000,9903912340831518536424550927562.509215525980855409,4,0x644a021d77C993f986B8fD63594FD0d9E9bD6FEC,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,9903912340831518536424550927.562509215525980855,1621354116,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12462590,179,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x89cacb1bd7447540be9d5e78605f535e0aa9a8acc64ab206f91d827ba90043b4,305,1.1e-17,4059965000000,28317547334861745911446106708653.485217935486420856,11.906031741182254,0xf024521f7ca9E1326065A80827DFf780F0bF3702,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e,28317547334861745911446106708.65348521793548642,1621397204,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
