blockNumber,transactionIndex,address,transactionHash,logIndex,event_ilk,event_urn,event_ink,event_art,event_due,event_clip,event_id,timestamp,from
12317310,182,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x6acf3a26418a4264df2ddc7296804a095c4377e43b6d76d2ea4ac26e471a14d9,226,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0xE15e940098531b3315Ef3066eD3D811e881c6B6b,249.9826,4945.744385318125,5016062745112736477912733438439.678279975003014844,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,1e-18,1619458298,0xEc4f78a9094e740D7D7dB9c03b505A0B03fe2c13
12318381,63,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x18f8a168319b6fa04af25e326f3b7120b47ef3710e686bffac9ae34be40e7410,152,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0xE15e940098531b3315Ef3066eD3D811e881c6B6b,265.6676844745428,5132.855251111836,5205914652745508334535093966913.94343344707441563,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,2e-18,1619472530,0xEc4f78a9094e740D7D7dB9c03b505A0B03fe2c13
12324468,84,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x786fe78ae0a06553b6ba566101b51c414089cdd2a0e6478248a4df1cbc02be3a,202,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0xAc2e1c3F7A8Bd376a893E32C2878D1933FDDBF35,285.22311364046175,5982.979591620584,6068672367644434394703720569663.288679187676029556,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,3e-18,1619553366,0xBEe46Fc4a9effD104aa2Dc2D190BB19f82824B37
12337733,194,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x8c2520e8c67675c9e7250d2e896f88e5c341582249c2bb72f3e64279f506c5fb,260,0x5946492d41000000000000000000000000000000000000000000000000000000,0x0D2EBcB9e57955dAe237DCcA1e5aaF2f7f71d319,0.188,4989.7501001142855,5127730000000000000000974571152.844549736868565872,0x9daCc11dcD0aa13386D295eAeeBBd38130897E6f,1e-18,1619730311,0x2952dA6958D6703892B8F0Db7b304b2939c72d08
12342416,50,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x926b9601cd9961e198e0787c91a18335e44dc66197312eff861252c0f5495c2a,83,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0xAc2e1c3F7A8Bd376a893E32C2878D1933FDDBF35,231.0579121222413,4964.708109655729,5037338744184432125135726115354.295214772207858435,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,4e-18,1619793271,0xEc4f78a9094e740D7D7dB9c03b505A0B03fe2c13
12343544,75,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x85e7959fc41ec323ce902d7c136700626767bab3b4250ff8c5754e707e2572e2,126,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0x3Cb42106EcdfE3490648547448B2F96871298e8b,227.77397792935233,4927.805288532912,5000016933322269389460796414331.375718010296189483,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,5e-18,1619808808,0x3Cb42106EcdfE3490648547448B2F96871298e8b
12382245,251,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x8f2adb21b32ad1cf51ef9d989ae301577aa446216d75916506c6c0f0e7e6f80d,192,0x574254432d410000000000000000000000000000000000000000000000000000,0x83302BEa56A2D09e4671dDA6010c8a68327c9A35,0.133,4948.189545766802,5099350000000000000000200570213.582274133741048216,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,1e-18,1620324335,0x19742bDD5257604aCacd427f8bE1a9d4fc9e4e40
12382360,147,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x327d286866894e43b1998da1e17c15995c2841eb31553be85cd1e3e2462064ab,185,0x4554482d41000000000000000000000000000000000000000000000000000000,0x3539cCfF045B83f6859492E4C5FFe872F32c1F5E,2.13,4854.67624105323,5053936165455148802672356047128.203145048217356257,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1e-18,1620325730,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
12390300,193,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x66d7d10cd3ff686fd46e558b2ad92d27d1366b204d3692bbadd0057bfe6b64a5,208,0x4554482d41000000000000000000000000000000000000000000000000000000,0xa570adf6E0001c45F42B007aDda6D93e8573201a,2.6114,5791.695305419749,6030510249312022645527898015523.897188288766775164,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,2e-18,1620432113,0x5ac60B74A41a5CF50d84BbD9C9EcE1093923Ad6e
12400570,88,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x5d2fb1096c092b4930b8a894a8ffe60dc6cd06f690295666b37f7e047e2aeb3c,83,0x4554482d43000000000000000000000000000000000000000000000000000000,0x49Cc3D5abfFDcbf8436390aDBA76cBed73821f03,2.322,5095.776148196031,5120235589880048767125814541586.278232406580924328,0xc2b12567523e3f3CBd9931492b91fe65b240bc47,1e-18,1620568943,0x5aC112C33483C3b8Dbe1F199350932eC02588265
